gene	length	score	occurrences	# sites
TcCLB.397937.10	535	23	1	1
TcCLB.399033.10	11	51	8	5
TcCLB.401661.10.1	22	47	4	3
TcCLB.404001.10	229	66	2	6
TcCLB.404843.10	125	63	2	2
TcCLB.404843.20	436	48	2	20
TcCLB.404975.30	1003	56	1	4
TcCLB.405165.10	307	55	2	4
TcCLB.407477.10	246	62	8	6
TcCLB.407477.20	379	48	1	2
TcCLB.407477.40	10	69	4	3
TcCLB.407477.44	10	46	1	2
TcCLB.407477.50	484	92	65	30
TcCLB.407477.60	8	67	2	3
TcCLB.408345.10	346	66	35	8
TcCLB.408437.10	194	31	1	3
TcCLB.408437.20	342	44	13	5
TcCLB.408573.5	8	51	2	1
TcCLB.408799.10	95	62	1	4
TcCLB.409117.10	283	21	1	2
TcCLB.410943.10	540	16	1	1
TcCLB.410961.10	362	51	1	1
TcCLB.411427.40	18	53	2	2
TcCLB.413605.10	47	11	1	1
TcCLB.413977.10	90	62	1	24
TcCLB.416503.10	985	57	1	2
TcCLB.416883.18	135	44	1	6
TcCLB.417091.10	145	55	1	1
TcCLB.417797.9	156	56	1	1
TcCLB.418405.30	1028	39	1	2
TcCLB.419043.10	13	61	2	3
TcCLB.419417.10	107	56	1	1
TcCLB.419417.19	211	61	1	2
TcCLB.419469.30	1739	51	1	7
TcCLB.419703.20	62	66	3	2
TcCLB.420293.40	339	41	1	1
TcCLB.420369.20	550	63	2	4
TcCLB.420369.40	46	48	1	4
TcCLB.420495.19	56	57	1	1
TcCLB.421619.10	170	51	1	5
TcCLB.422843.10	303	46	1	3
TcCLB.428999.30	302	63	2	3
TcCLB.429185.31	264	25	5	1
TcCLB.429257.20	856	55	8	5
TcCLB.430605.10	177	17	4	1
TcCLB.430605.20	395	69	5	14
TcCLB.430605.29	230	79	17	27
TcCLB.430605.40	679	68	4	6
TcCLB.430737.10	380	56	1	3
TcCLB.430895.10	1035	68	9	13
TcCLB.430895.4	1198	52	1	11
TcCLB.432027.9	267	31	1	3
TcCLB.432787.10	503	46	1	1
TcCLB.434259.10	175	50	7	3
TcCLB.434931.10	79	60	23	5
TcCLB.436535.10	499	11	1	1
TcCLB.436535.19	589	22	2	1
TcCLB.437545.10	904	72	140	68
TcCLB.438147.18	94	76	6	1
TcCLB.438897.10	424	56	2	18
TcCLB.439307.19	446	29	1	2
TcCLB.439653.10	490	7	5	3
TcCLB.441401.10	1247	49	4	9
TcCLB.442383.19	92	77	9	4
TcCLB.444331.10	365	8	2	1
TcCLB.445553.10	43	30	1	1
TcCLB.445635.10	478	36	2	3
TcCLB.445849.10	128	66	1	2
TcCLB.445869.10	28	45	1	2
TcCLB.447255.10	816	66	2	18
TcCLB.447255.20	376	31	1	3
TcCLB.447255.29	50	53	1	2
TcCLB.447255.4	363	71	8	4
TcCLB.447847.10	396	26	1	1
TcCLB.448197.10	384	37	1	1
TcCLB.449247.10	409	49	2	3
TcCLB.450061.10	317	28	1	1
TcCLB.456139.10	206	32	2	2
TcCLB.458015.10	61	49	6	6
TcCLB.458015.4	146	27	3	8
TcCLB.459793.10	323	62	2	2
TcCLB.462761.10	307	61	1	2
TcCLB.462761.4	189	61	1	1
TcCLB.463155.20	575	58	3	4
TcCLB.463155.40	1241	55	2	3
TcCLB.464807.10	1603	63	1	3
TcCLB.466823.10	171	75	12	4
TcCLB.466879.10	333	55	2	5
TcCLB.469435.10	26	66	1	3
TcCLB.469785.10	35	59	1	2
